Date	Open	High	Low	Close	Volume
01/12/2014 16:30:00	98.63	98.63	98.63	98.62	23
02/12/2014 16:30:00	98.92	98.93	98.67	98.89	1284
05/12/2014 16:30:00	99.15	99.15	99.15	99.25	127100
08/12/2014 16:30:00	98.99	98.99	98.99	98.83	127100
09/12/2014 16:30:00	97.74	97.86	97.37	97.54	18627
11/12/2014 16:30:00	96.96	97.37	96.73	97.41	36604
12/12/2014 16:30:00	95.93	96.13	95.61	95.49	36216
15/12/2014 16:30:00	95.33	95.33	95.18	94.08	2881
16/12/2014 16:30:00	94.25	95.24	92.67	95.24	37637
17/12/2014 16:30:00	94.17	94.17	94.17	94.59	1093
18/12/2014 16:30:00	96.6	96.68	96.6	96.43	785
19/12/2014 16:30:00	97.65	97.92	96.91	97.54	555434
22/12/2014 16:30:00	98.03	98.03	97.91	97.87	179929
23/12/2014 16:30:00	97.45	98.06	97.45	98.08	34135
29/12/2014 16:30:00	98.98	99.5	98.3	98.59	11108
31/12/2014 16:30:00	98.17	98.17	98.17	98.15	27060
05/01/2015 16:30:00	96.52	96.52	96.3	94.83	31373
06/01/2015 16:30:00	94.5	94.83	94.5	94.16	24624
07/01/2015 16:30:00	94.69	94.9	94.22	94.37	21232
09/01/2015 16:30:00	96.54	96.54	95.73	95.61	32312
12/01/2015 16:30:00	95.71	96.21	94.92	95.32	17387
13/01/2015 16:30:00	94.94	95.85	94.94	96.45	10985
14/01/2015 16:30:00	95	95.34	94.73	94.54	8362
15/01/2015 16:30:00	95.9	95.9	94.57	94.9	668
16/01/2015 16:30:00	94.8	95.16	94.29	95.06	2066
19/01/2015 16:30:00	95.98	96.12	95.43	95.84	3724
20/01/2015 16:30:00	96.04	96.25	96.25	95.64	518
22/01/2015 16:30:00	97.04	97.04	96.35	97.22	127221
23/01/2015 16:30:00	97.83	97.83	97.66	97.74	5
26/01/2015 16:30:00	97.29	97.29	97.29	97.63	463
27/01/2015 16:30:00	98.99	98.99	96.83	97.07	4385
28/01/2015 16:30:00	98.3	98.3	97.01	96.91	1537
29/01/2015 16:30:00	95.46	95.46	95.46	95.59	1
30/01/2015 16:30:00	96.07	96.07	96.07	95.63	5
02/02/2015 16:30:00	95.55	95.87	95.55	95.94	5037
03/02/2015 16:30:00	96.67	97.03	96.67	97.41	14962
04/02/2015 16:30:00	98	98	98	97.98	4102
05/02/2015 16:30:00	97.49	97.97	97.49	98.26	2230
06/02/2015 16:30:00	98.22	98.44	98.22	98.39	14986
09/02/2015 16:30:00	97.58	97.58	97.58	97.75	2245
10/02/2015 16:30:00	97.41	98	97.35	97.87	3962
11/02/2015 16:30:00	97.9	97.91	97.9	97.96	1350
12/02/2015 16:30:00	98.07	98.84	98.01	98.66	46596
13/02/2015 16:30:00	99.35	99.62	99.35	99.67	244
18/02/2015 16:30:00	100.21	100.21	99.75	99.93	2027
20/02/2015 16:30:00	99.82	99.82	99.57	100.06	9
23/02/2015 16:30:00	100.8	100.8	100.8	100.48	4094
24/02/2015 16:30:00	100.48	100.48	100.39	101.03	43
27/02/2015 16:30:00	100.76	100.76	100.76	100.93	7
04/03/2015 16:30:00	100.22	100.22	98.61	99.86	6865
06/03/2015 16:30:00	100.37	100.52	100.18	99.22	1301
09/03/2015 16:30:00	98.57	99.24	98.57	98.88	7242
10/03/2015 16:30:00	98.21	98.22	97.69	97.24	390
11/03/2015 16:30:00	97.21	97.21	97.21	97.35	2305
12/03/2015 16:30:00	98.14	98.29	98.1	98.14	76486
13/03/2015 16:30:00	97.72	97.75	97.66	97.43	71860
16/03/2015 16:30:00	98.4	98.77	98.4	98.78	350
17/03/2015 16:30:00	98.63	98.74	98.36	98.63	11611
18/03/2015 16:30:00	98.91	99.02	98.6	98.77	4578
19/03/2015 16:30:00	99.69	99.69	99.69	99.54	136
20/03/2015 16:30:00	99.61	101.09	99.61	101.01	55643
23/03/2015 16:30:00	100.37	100.83	100.19	101.16	6477
24/03/2015 16:30:00	101.35	101.35	100.92	101.1	763
25/03/2015 16:30:00	100.83	100.83	100.81	100.12	955
26/03/2015 16:30:00	99.16	99.42	98.7	99.2	5906
27/03/2015 16:30:00	98.91	99.17	98.84	99.14	6248
30/03/2015 16:30:00	99.67	100.14	99.67	100.03	7720
31/03/2015 16:30:00	99.84	99.84	99.06	99.54	10196
02/04/2015 16:30:00	99.37	100.21	99.24	100.01	4632
07/04/2015 16:30:00	100.32	101.23	100.32	101.05	21705
08/04/2015 16:30:00	100.98	101.34	100.95	101.13	34061
09/04/2015 16:30:00	100.93	100.93	100.93	101.04	3
13/04/2015 16:30:00	101.61	101.96	101.47	101.87	8810
14/04/2015 16:30:00	101.85	101.85	101.35	101.61	996
15/04/2015 16:30:00	101.58	101.58	101.58	102.07	360
17/04/2015 16:30:00	102.58	102.7	101.33	101.2	49290
20/04/2015 16:30:00	101.71	101.71	101.71	102	613
21/04/2015 16:30:00	102.13	102.34	102.11	102.3	5410
22/04/2015 16:30:00	102.29	102.77	101.9	102.37	5062
23/04/2015 16:30:00	102.11	102.3	102.11	102.74	519
24/04/2015 16:30:00	103.33	103.48	102.98	103.35	2904
28/04/2015 16:30:00	103.16	103.48	101.84	103.44	8101
