Date	Open	High	Low	Close	Volume

01/08/2019 16:30:00	79.14	79.14	79.14	79.64	51
02/08/2019 16:30:00	78.63	78.63	77.58	77.42	3309
05/08/2019 16:30:00	77.3	77.3	76	75.95	735
06/08/2019 16:30:00	76.07	76.25	75.77	76.01	6528470
07/08/2019 16:30:00	76.61	76.61	75.4	75.85	2035
08/08/2019 16:30:00	77.16	77.38	77.16	77.26	337
09/08/2019 16:30:00	77.53	77.73	76.99	76.74	5154
12/08/2019 16:30:00	77.1	77.1	76.6	76.5	150
13/08/2019 16:30:00	76	77.39	76	77.1	4887
14/08/2019 16:30:00	77.07	77.07	75.6	75.5	106727
15/08/2019 16:30:00	75.78	75.78	75	75.15	3447
16/08/2019 16:30:00	76.06	76.29	76.06	76.19	610
19/08/2019 16:30:00	77.04	77.09	77.01	77.08	503
21/08/2019 16:30:00	77.2	77.2	76.94	77.22	1026
22/08/2019 16:30:00	77.22	77.35	77.22	76.8	2702
23/08/2019 16:30:00	77.35	77.35	77	76.18	335
27/08/2019 16:30:00	76.25	76.63	76.08	76.16	1370
28/08/2019 16:30:00	76	76.24	76	76.37	73
29/08/2019 16:30:00	77.21	77.21	77.21	77.13	272
30/08/2019 16:30:00	77.36	77.84	77.36	77.11	804
02/09/2019 16:30:00	77.33	77.33	77.11	77.08	101435
03/09/2019 16:30:00	76.96	76.96	76.75	76.83	47808
04/09/2019 16:30:00	77.65	77.85	77.63	77.85	23625
05/09/2019 16:30:00	78.41	78.9	78.34	78.82	1564
06/09/2019 16:30:00	78.89	79	78.81	78.98	5172
09/09/2019 16:30:00	79.11	79.24	78.98	79.07	7480
10/09/2019 16:30:00	78.72	78.82	78.72	78.69	1931
11/09/2019 16:30:00	79.28	79.28	79.22	79.35	836
12/09/2019 16:30:00	79.82	79.97	79.75	79.93	20338
13/09/2019 16:30:00	80.22	80.22	80.1	80.19	205
16/09/2019 16:30:00	79.77	79.83	79.6	79.78	329
17/09/2019 16:30:00	79.61	79.77	79.5	79.73	825
18/09/2019 16:30:00	79.8	79.8	79.77	79.71	1374
19/09/2019 16:30:00	79.69	80.28	79.69	80.24	942
20/09/2019 16:30:00	80.15	80.21	80.08	80.03	824
23/09/2019 16:30:00	79.98	79.98	79.4	79.55	8492
24/09/2019 16:30:00	79.76	79.86	79.64	79.52	6596
25/09/2019 16:30:00	79.07	79.08	78.63	78.94	7593
26/09/2019 16:30:00	78.99	78.99	78.99	78.96	100
27/09/2019 16:30:00	79.36	79.45	79.25	79.29	5678
30/09/2019 16:30:00	79.2	79.2	78.94	79.1	1718
01/10/2019 16:30:00	79.41	79.41	78.74	78.64	5106
02/10/2019 16:30:00	78.57	78.57	77	76.94	3857
03/10/2019 16:30:00	77.13	77.13	76.72	77.18	2837
04/10/2019 16:30:00	77.54	77.78	77.54	77.88	820
07/10/2019 16:30:00	77.98	78.1	77.98	78.32	229
08/10/2019 16:30:00	78.4	78.4	77.66	77.21	795
09/10/2019 16:30:00	77.31	77.31	77.31	77.53	720
10/10/2019 16:30:00	77.78	77.78	77.78	78.39	100
11/10/2019 16:30:00	79.64	79.64	79.64	79.74	204
14/10/2019 16:30:00	79.47	79.47	79.13	79.14	827
15/10/2019 16:30:00	79.69	79.69	79.42	79.98	2776
16/10/2019 16:30:00	79.95	79.95	79.93	79.93	376
17/10/2019 16:30:00	79.88	80.51	79.87	80.15	7040
18/10/2019 16:30:00	80	80.09	79.95	80.01	16900
21/10/2019 16:30:00	80.11	80.4	80.11	80.3	1656
22/10/2019 16:30:00	80.57	80.57	80.29	80.5	509
23/10/2019 16:30:00	80.12	80.29	80	80.33	3250
24/10/2019 16:30:00	80.78	80.78	80.78	80.57	471
25/10/2019 16:30:00	80.64	80.91	80.48	80.9	694
28/10/2019 16:30:00	81.1	81.32	80.98	81.31	1109
29/10/2019 16:30:00	81.3	81.32	81.1	81.33	2251
30/10/2019 16:30:00	81.29	81.29	80.96	81.18	164
31/10/2019 16:30:00	81.73	81.73	81	81.03	2198
01/11/2019 16:30:00	81.5	81.96	81.42	81.88	1715
04/11/2019 16:30:00	82.38	82.61	82.38	82.46	6027
05/11/2019 16:30:00	82.62	82.68	82.4	82.4	6403
06/11/2019 16:30:00	82.35	82.49	82.35	82.35	4829
07/11/2019 16:30:00	82.91	82.95	82.78	82.83	1573
08/11/2019 16:30:00	82.66	82.66	82.42	82.43	21039
11/11/2019 16:30:00	82.33	82.35	82.15	82.39	13952
12/11/2019 16:30:00	82.58	82.76	82.55	82.74	5371
13/11/2019 16:30:00	82.4	82.4	82.11	82.36	24732
14/11/2019 16:30:00	82.35	82.41	82.3	82.32	1654
15/11/2019 16:30:00	82.7	82.78	82.57	82.93	1041
18/11/2019 16:30:00	83.29	83.29	82.9	83.08	11292
19/11/2019 16:30:00	83.28	83.49	82.99	83.01	1709
20/11/2019 16:30:00	82.71	82.72	82.64	82.9	3199
21/11/2019 16:30:00	82.88	82.88	82.4	82.52	15025
22/11/2019 16:30:00	82.69	82.86	82.68	82.54	3204
25/11/2019 16:30:00	83.09	83.37	83.09	83.31	1045
26/11/2019 16:30:00	83.41	83.41	83.26	83.43	8831
27/11/2019 16:30:00	83.61	83.67	83.56	83.53	3104
28/11/2019 16:30:00	83.7	83.73	83.47	83.59	1882
29/11/2019 16:30:00	83.45	83.51	83.36	83.35	1992
02/12/2019 16:30:00	83.39	83.45	82.67	82.63	3420
03/12/2019 16:30:00	82.89	82.89	81.6	81.85	5339
04/12/2019 16:30:00	82.03	82.83	81.98	82.81	3257
05/12/2019 16:30:00	82.98	83.11	82.73	82.78	985
06/12/2019 16:30:00	83.66	83.66	83.63	83.63	197
09/12/2019 16:30:00	83.69	83.72	83.5	83.59	9711
10/12/2019 16:30:00	83.74	83.74	82.97	83.41	11023
11/12/2019 16:30:00	83.39	83.55	83.37	83.52	464
12/12/2019 16:30:00	83.97	84.55	83.66	84.25	683
